,Jurisdiction,year,County,DiversionRateHouse,DiversionRateNoOfEmployee,Bins,D.R.E_category,D.R.H_category,Population,MedianAge,Latino,White,Black,Asian,LaberFocre,LaberForceEmplyed,LaberForceUnemployed,UnemploymentRate,FemalesEmploymentRate,CoummuteTime,MedianIncome,PovertyRate,TotalUnit,1-UnitDetached,1-UnitAttached,MoreThan20UnitsInStructure,MedianNoOfRooms,MedianHouseValue,MedianGrossRent,Jurisdiction_stat,lat,lon
190,Maricopa,2013,Kern,0.587719298,0.520725389,"(0.5, 0.65]",Okay,Okay,1205,32.5,21.1,76.3,0.7,0.9,406,318,88,21.7,24.1,34.8,39464,33.8,428,40.2,0.7,0,5.1,87200,728,"Maricopa, CA, USA",35.058858,-119.4009509
191,Marina,2013,Monterey,0.753623188,0.790123457,"(0.65, 0.8]",Good,Good,19529,35.3,26.9,36.1,7.4,17.2,10330,9660,670,6.5,62.3,24.1,51547,14.9,7687,45.8,9.4,9.5,4.7,514900,1054,"Marina, CA, USA",36.6900785,-121.8006398
193,Martinez,2013,Contra Costa,0.598360656,0.566964286,"(0.5, 0.65]",Okay,Okay,35622,43.1,14,70.8,4.1,7.4,19626,18164,1462,7.4,66.7,26.4,75679,7.9,15462,62.7,14.2,6.8,5.5,520800,1201,"Martinez, CA, USA",38.0103311,-122.1298309
194,Maywood,2013,Los Angeles,0.558823529,0.694202899,"(0.5, 0.65]",Good,Okay,27515,26.9,97.5,1.3,0.5,0.7,12571,11052,1519,12.1,49.8,28.8,38740,22.5,6907,54.5,12.9,4.6,4,360200,941,"Maywood, CA, USA",33.9866807,-118.185349
195,McFarland,2013,Kern,0.586206897,0.793103448,"(0.5, 0.65]",Good,Okay,12302,25.5,89.2,7.1,1.2,0.9,4729,3919,810,17.1,49.8,27.4,35656,34.9,2693,84,2,2.3,5.2,163800,675,"McFarland, CA, USA",35.6780104,-119.2292748
197,Mendota,2013,Fresno,0.375,0.508928571,"(0.0, 0.5]",Okay,Low,10459,24.2,97.6,0,0,1.2,4122,3230,892,21.6,46.7,27.5,25216,44.6,2796,57.9,6.4,2.4,4.8,151000,603,"Mendota, CA, USA",36.7535486,-120.3815579
198,Menlo Park,2013,San Mateo,0.706666667,0.739130435,"(0.65, 0.8]",Good,Good,31318,39,17.6,63.1,5.6,9.8,16826,15811,1015,6,60.3,22.1,107860,6.2,13313,55.2,7.9,10.6,5.2,1000000,1710,"Menlo Park, CA, USA",37.4538274,-122.1821871
200,Millbrae,2013,San Mateo,0.698113208,0.666666667,"(0.65, 0.8]",Good,Good,21007,45.2,15,41.7,2,39,10654,10064,590,5.5,55.4,27.3,80763,5.9,8537,63.6,3.5,14.8,5.5,925300,1433,"Millbrae, CA, USA",37.5985468,-122.3871942
201,Milpitas,2013,Santa Clara,0.603174603,0.577319588,"(0.5, 0.65]",Okay,Okay,65150,35.7,16.4,17.3,2.8,59.1,33345,30912,2433,7.3,60.8,22.2,92694,5.8,19832,58.9,16.9,9.2,5.5,608000,1572,"Milpitas, CA, USA",37.4282724,-121.9066238
202,Mission Viejo,2013,Orange,0.657894737,0.65,"(0.65, 0.8]",Okay,Good,92615,41.5,14,72.3,1.3,8.9,50280,47222,3058,6.1,59.7,25.7,95878,4.2,34441,72.4,12,5.6,6.1,622000,1694,"Mission Viejo, CA, USA",33.5965685,-117.659405
203,Modesto,2013,Stanislaus,0.55,0.518115942,"(0.5, 0.65]",Okay,Okay,201898,33.2,35.2,50.7,3.6,6.4,92867,81111,11756,12.7,56.5,25.4,50550,16.8,74012,69.6,4.3,5.8,5.3,282500,974,"Modesto, CA, USA",37.6390972,-120.9968782
206,Monrovia,2013,Los Angeles,0.666666667,0.681528662,"(0.65, 0.8]",Good,Good,36616,37.5,37.4,41.7,6.9,11.2,20398,19182,1216,6,62.9,26.8,65477,9.8,14444,57.8,12,8.9,4.7,561000,1220,"Monrovia, CA, USA",34.1483499,-118.0014517
207,Montclair,2013,San Bernardino,0.653846154,0.577181208,"(0.65, 0.8]",Okay,Good,36704,30.1,67.4,15.4,4.4,10.3,18489,15607,2882,15.6,59.8,29.5,53870,15.2,9692,58.8,4.8,4.2,5.2,330900,1040,"Montclair, CA, USA",34.0775104,-117.6897776
208,Monte Sereno,2013,Santa Clara,0.730769231,0.763104839,"(0.65, 0.8]",Good,Good,3312,45.7,8.9,72.4,1,13.3,1548,1463,85,5.5,51,25.1,139145,2.4,1217,97,1.6,0,7.6,1000000,2000,"Monte Sereno, CA, USA",37.236333,-121.992458
209,Montebello,2013,Los Angeles,0.764044944,0.798245614,"(0.65, 0.8]",Good,Good,62416,33.6,78.6,8.8,1,10.5,28891,26450,2441,8.4,53.9,28.6,50881,14.9,19980,49.7,7.8,16,4.6,456500,1045,"Montebello, CA, USA",34.0159398,-118.111975
210,Monterey,2013,Monterey,0.736363636,0.755905512,"(0.65, 0.8]",Good,Good,27827,37.1,14.2,69.2,2.3,9.1,12935,12002,933,7.2,60.3,15.1,61271,10.6,13032,43.1,6.1,10.6,4.4,766800,1258,"Monterey, CA, USA",36.600256,-121.8946388
211,Monterey Park,2013,Los Angeles,0.64,0.667857143,"(0.5, 0.65]",Good,Okay,60176,41.5,27.5,4.7,0.1,65.5,28823,26840,1983,6.9,51.3,28,52159,12.6,20631,57.7,9.5,9,4.9,495600,1111,"Monterey Park, CA, USA",34.051522,-118.129807
213,Moorpark,2013,Ventura,0.7,0.664804469,"(0.65, 0.8]",Good,Good,33808,34.9,31.4,59.1,1.2,6.7,18907,17944,963,5.1,65.1,29.1,101962,3.5,10858,72.8,13.2,2.6,6.3,609000,1672,"Moorpark, CA, USA",34.285558,-118.8820414
214,Moreno Valley,2013,Riverside,0.636363636,0.635220126,"(0.5, 0.65]",Okay,Okay,187428,27.6,51.3,21.1,17.3,6.5,85749,75993,9756,11.4,57.1,35.5,56507,16.2,54218,80.7,2,4.8,5.9,296400,1271,"Moreno Valley, CA, USA",33.937517,-117.2305944
215,Morgan Hill,2013,Santa Clara,0.56557377,0.536809816,"(0.5, 0.65]",Okay,Okay,36630,35.7,35.1,47.8,2,11.5,18871,17506,1365,7.2,63.2,29.1,92771,10,12795,61.5,14.6,2.7,6.1,673400,1401,"Morgan Hill, CA, USA",37.130408,-121.6544974
216,Mountain View,2013,Santa Clara,0.762820513,0.825688073,"(0.65, 0.8]",Great,Good,72510,35.9,20.3,48.3,2.3,25,43155,40539,2616,6.1,63.7,20.7,88244,6.8,32646,30.6,11.6,28.7,4.1,779500,1427,"Mountain View, CA, USA",37.3893889,-122.0832101
217,Murrieta,2013,Riverside,0.663043478,0.667391304,"(0.65, 0.8]",Good,Good,95668,32.4,27.2,53.9,5.2,9.3,45110,40846,4264,9.5,56.9,36.7,78739,6.2,32528,75.9,3.4,5.4,6.5,369600,1365,"Murrieta, CA, USA",33.5777524,-117.1884542
218,Napa,2013,Napa,0.767123288,0.755494505,"(0.65, 0.8]",Good,Good,76006,37.4,37.1,57.5,1,2.4,39597,36557,3040,7.7,58.2,22.2,62767,11.7,30290,62,6.7,6.8,5,528000,1177,"Napa, CA, USA",38.2971367,-122.2855293
220,National City,2013,San Diego,0.652173913,0.664251208,"(0.65, 0.8]",Good,Good,57343,31.5,64.2,10.5,4,19,23344,20917,2427,10.4,51.5,26,36280,22.6,17906,44.3,9.8,17.7,4.4,351900,893,"National City, CA, USA",32.6781085,-117.0991967
221,Needles,2013,San Bernardino,0.5,0.525,"(0.0, 0.5]",Okay,Low,4938,42.5,15.2,69.8,3.6,1.2,1994,1721,273,13.7,45.4,23.2,31226,26.1,3024,67,2.1,1.8,4.4,146300,709,"Needles, CA, USA",34.8480597,-114.6141316
222,Nevada City,2013,Nevada,0.683760684,0.637931034,"(0.65, 0.8]",Okay,Good,3087,41.6,10.3,82,0.5,5.4,1781,1608,173,9.7,68.1,20.1,59167,4.6,1454,71,4.7,0,5.1,496700,1171,"Nevada City, CA, USA",39.2615606,-121.0160594
224,Newark,2013,Alameda,0.691780822,0.6375,"(0.65, 0.8]",Okay,Good,41981,35.3,33.5,30.1,4.2,26.4,22741,20943,1798,7.9,62.4,25.1,81352,7.6,13658,71,10,8.4,5.6,551900,1387,"Newark, CA, USA",37.5296593,-122.0402399
225,Newport Beach,2013,Orange,0.666666667,0.660869565,"(0.65, 0.8]",Good,Good,83571,42.8,7.4,83,0.6,7.2,46129,44109,2020,4.4,54.1,23.3,107007,6.3,43503,45.5,15.9,17.7,5.2,1000000,1858,"Newport Beach, CA, USA",33.6170092,-117.9294401
226,Norco,2013,Riverside,0.745614035,0.725108225,"(0.65, 0.8]",Good,Good,26984,38.9,27.1,58.8,6.5,3.7,12201,11252,949,7.8,61.3,33.4,80426,9.4,7594,95.2,1.3,1.3,6.6,524600,1417,"Norco, CA, USA",33.9323307,-117.5508901
227,Norwalk,2013,Los Angeles,0.6625,0.671945701,"(0.65, 0.8]",Good,Good,105108,33.7,67.4,12.9,4.5,13.9,50681,45709,4972,9.8,55.8,27.3,60488,11.1,28790,73.3,4.5,11.5,5,398300,1207,"Norwalk, CA, USA",33.9092802,-118.0849169
228,Oakland,2013,Alameda,0.663793103,0.699346405,"(0.65, 0.8]",Good,Good,386909,36,25.2,26.2,28,15.8,203985,183285,20700,10.1,60.4,27.5,49721,18.7,173851,43.5,4,18.2,4.4,528600,1000,"Oakland, CA, USA",37.8044557,-122.2713563
229,Oceanside,2013,San Diego,0.69047619,0.69047619,"(0.65, 0.8]",Good,Good,164709,35,35.9,48.9,4.2,6.3,81634,74433,7201,8.8,57.4,28.2,63577,10.1,63746,52.7,11.7,8.2,5.2,429700,1299,"Oceanside, CA, USA",33.1958696,-117.3794834
230,Ojai,2013,Ventura,0.638554217,0.638554217,"(0.5, 0.65]",Okay,Okay,7525,45.6,18.7,76.6,0,1.6,4003,3639,364,9.1,54.6,25.7,61990,5.6,3251,68.5,9.5,2.6,5.4,659600,1278,"Ojai, CA, USA",34.4480495,-119.242889
231,Ontario,2013,San Bernardino,0.661616162,0.62804878,"(0.65, 0.8]",Okay,Good,165215,30.2,65.4,20.5,7.5,4.2,84741,74919,9822,11.6,61.2,27.4,57771,12.7,48575,59,6.6,7.7,5.2,346800,1198,"Ontario, CA, USA",34.0633,-117.6509
232,Orange,2013,Orange,0.737623762,0.715277778,"(0.65, 0.8]",Good,Good,134569,35.3,37.5,46.9,1.4,12,71852,66340,5512,7.7,62.6,25.6,76742,9.1,44217,57.6,10.7,11.1,5.4,598000,1385,"Orange, CA, USA",33.7500378,-117.8704931
233,Orange Cove,2013,Fresno,0.881578947,0.8456948,"(0.8, 1.0]",Great,Great,8718,23.3,97.1,2.5,0,0,3383,2787,596,17.6,53.7,25.2,26942,43.9,2040,61.5,4.2,4.4,5,169100,669,"Orange Cove, CA, USA",36.624394,-119.3137301
235,Oroville,2013,Butte,0.558333333,0.529069767,"(0.5, 0.65]",Okay,Okay,15369,31.7,10.4,74.7,2.9,5.2,6476,5607,869,13.4,50,17.4,37141,22.5,6199,58.5,3.6,7,4.9,214200,644,"Oroville, CA, USA",39.5137752,-121.556359
236,Oxnard,2013,Ventura,0.719827586,0.713235294,"(0.65, 0.8]",Good,Good,192520,30.3,70.2,15.6,3.2,8.7,94175,86408,7767,8.2,57.9,24.3,59015,15.1,54416,57.3,10.7,8.6,5.4,454700,1219,"Oxnard, CA, USA",34.1976308,-119.1803818
237,Pacific Grove,2013,Monterey,0.729508197,0.631097561,"(0.65, 0.8]",Okay,Good,14902,45.8,7.4,81.3,1.2,7.2,7899,7428,471,6,59.2,18.3,66730,6.8,7723,57.9,6.1,7.1,4.6,766100,1321,"Pacific Grove, CA, USA",36.6174432,-121.9155906
238,Pacifica,2013,San Mateo,0.6,0.626506024,"(0.5, 0.65]",Okay,Okay,36805,41.7,16.7,56.8,2,18.6,21793,20380,1413,6.5,69.6,28,90472,4.8,14506,71.2,6.5,7.6,5.6,669500,1568,"Pacifica, CA, USA",37.6138253,-122.4869194
239,Palm Desert,2013,Riverside,0.740601504,0.704035874,"(0.65, 0.8]",Good,Good,48534,52.8,21.3,72.7,1.4,3.3,21502,19773,1729,8,46.2,19.6,56897,8.8,36868,39.6,29.2,4.7,4.9,384300,1160,"Palm Desert, CA, USA",33.7288179,-116.3825711
240,Palm Springs,2013,Riverside,0.723021583,0.745098039,"(0.65, 0.8]",Good,Good,45012,50.7,23.3,64.4,4.5,4.5,21959,20063,1896,8.6,48.7,21.1,44728,11.9,36344,36.4,24.2,8.9,4.4,352700,933,"Palm Springs, CA, USA",33.77217945,-116.4952977
241,Palmdale,2013,Los Angeles,0.75,0.735632184,"(0.65, 0.8]",Good,Good,146184,29,52.9,26.3,13.7,4.2,64299,56588,7711,12,54.6,40.3,55696,17.7,44295,79,1.8,4.8,6.1,277700,1078,"Palmdale, CA, USA",34.5793131,-118.1171108
242,Palo Alto,2013,Santa Clara,0.762195122,0.795774648,"(0.65, 0.8]",Good,Good,62486,41.2,6.6,61.9,2.8,25.3,31699,30047,1652,5.2,57.3,21.8,120670,5.7,26990,57.9,4.4,18.1,5.1,1000000,1654,"Palo Alto, CA, USA",37.442156,-122.1634472
243,Paradise,2013,Butte,0.677083333,0.638297872,"(0.65, 0.8]",Okay,Good,26425,51.3,6.9,86.7,0.3,1.3,11217,10455,762,6.8,44,21.3,42839,12.6,13051,69.3,2.6,1.9,5.1,240000,767,"Paradise, CA, USA",39.7596061,-121.6219177
244,Paramount,2013,Los Angeles,0.658333333,0.702764977,"(0.65, 0.8]",Good,Good,54187,28.4,77.8,7.3,11.2,2.5,24445,21953,2492,10.2,52.2,26.1,41333,19.2,15441,45.4,11.7,18.4,4.3,336300,1107,"Paramount, CA, USA",33.898917,-118.171005
245,Parlier,2013,Fresno,0.772727273,0.88547486,"(0.65, 0.8]",Great,Good,13928,26.4,97.2,2,0,0.3,6091,5439,652,10.7,54.3,22.2,34405,29.5,3530,68.8,1.8,3.1,5.1,174200,713,"Parlier, CA, USA",36.6116174,-119.5270734
246,Pasadena,2013,Los Angeles,0.729357798,0.732026144,"(0.65, 0.8]",Good,Good,136449,37,34.3,39.5,10.6,12.7,73925,68001,5924,8,58.2,26.2,65422,13.5,57188,44.3,6.6,22,4.4,657300,1260,"Pasadena, CA, USA",34.1476452,-118.1444779
247,Perris,2013,Riverside,0.666666667,0.436893204,"(0.65, 0.8]",Low,Good,63644,25.7,70.6,13.4,10.8,3,27623,23176,4447,16.1,57.1,37.5,50471,22.3,16993,76,2.2,2.7,5.6,239100,1153,"Perris, CA, USA",33.7825194,-117.2286478
248,Pico Rivera,2013,Los Angeles,0.726744186,0.74742268,"(0.65, 0.8]",Good,Good,62988,34.1,91,5.3,0.5,2.4,29520,27480,2040,6.9,52.9,29.4,57594,11,17000,76.6,3.8,11.9,5.2,414200,1123,"Pico Rivera, CA, USA",33.9830688,-118.096735
249,Piedmont,2013,Alameda,0.792682927,0.841530055,"(0.65, 0.8]",Great,Good,10573,44.5,4.4,71.2,1.2,19.5,5471,5206,265,4.8,60.8,26.7,169674,2.4,3797,94.6,1.2,0.4,7.5,1000000,2000,"Piedmont, CA, USA",37.8243715,-122.231635
250,Pittsburg,2013,Contra Costa,0.649253731,0.68875,"(0.5, 0.65]",Good,Okay,61723,31.3,41.7,20.8,17.5,14.6,29946,27266,2680,8.9,59.9,34.7,57828,13.6,20825,70.6,6.2,6.9,5.6,361100,1229,"Pittsburg, CA, USA",38.0181745,-121.8901232
251,Placentia,2013,Orange,0.698630137,0.614832536,"(0.65, 0.8]",Okay,Good,49566,35,36,45.9,1.3,14.9,25851,24135,1716,6.6,59.8,26.4,76678,10.9,16679,59.4,11.3,9.6,5.6,576400,1386,"Placentia, CA, USA",33.8714814,-117.8617337
253,Placerville,2013,El Dorado,0.652173913,0.757281553,"(0.65, 0.8]",Good,Good,10384,36.2,20.7,73.3,0.8,1.1,4977,4430,547,11,55.1,25.5,52216,17,4350,65.4,3.4,5.1,5.1,325800,922,"Placerville, CA, USA",38.7296252,-120.798546
254,Pleasant Hill,2013,Contra Costa,0.61,0.535,"(0.5, 0.65]",Okay,Okay,32826,40.5,12.3,67.6,1.7,13.4,18282,16870,1412,7.7,64.4,26.7,80671,6.9,14010,59.8,10.9,11,5.5,612900,1390,"Pleasant Hill, CA, USA",37.9479786,-122.0607963
255,Pleasanton,2013,Alameda,0.69,0.668103448,"(0.65, 0.8]",Good,Good,68204,37.9,11.9,59.4,2.1,22.3,35877,33571,2306,6.4,59.6,29,115188,3.5,24486,64.2,10,8.9,6.1,778000,1569,"Pleasanton, CA, USA",37.6624312,-121.8746789
257,Point Arena,2013,Mendocino,0.193548387,-0.061643836,"(0.0, 0.5]",,Low,476,34.5,41,54.2,0,1.9,264,249,15,5.7,65.1,17,37292,31.5,237,63.7,5.1,3,4.2,350000,903,"Point Arena, CA, USA",38.908798,-123.6930726
258,Port Hueneme,2013,Ventura,0.657894737,0.637681159,"(0.65, 0.8]",Okay,Good,21723,31.7,51.3,35.1,3.6,6.6,8995,8254,741,8.2,54.5,21.9,51555,15.6,8020,32.6,29.2,16.1,4.9,387200,1322,"Port Hueneme, CA, USA",34.1477829,-119.1951074
259,Portola,2013,Plumas,0.379310345,0.286764706,"(0.0, 0.5]",Low,Low,3042,38.9,28.8,63.5,1.5,0,1324,1093,231,17.4,42.6,29.9,35339,12.5,1460,71.2,0,4.9,4.8,203400,807,"Portola, CA, USA",39.819389,-120.467362
260,Portola Valley,2013,San Mateo,0.8,0.773255814,"(0.65, 0.8]",Good,Good,4283,50.5,5,88,0,5.1,1588,1476,112,7.1,36.9,24.4,167227,1.8,1800,80.9,0,8.4,7.1,1000000,2000,"Portola Valley, CA, USA",37.3841067,-122.2352443
261,Poway,2013,San Diego,0.697674419,0.757225434,"(0.65, 0.8]",Good,Good,47481,40.4,15.5,70.1,1,9.8,25291,23889,1402,5.5,61.8,24.4,97285,4.3,16660,75.2,4.1,8.7,6.3,606000,1339,"Poway, CA, USA",32.9628234,-117.0358646
262,Rancho Cucamonga,2013,San Bernardino,0.683823529,0.679640719,"(0.65, 0.8]",Good,Good,160780,33.9,34.4,43.9,8.5,9.5,87455,79995,7460,8.5,66.3,30.1,78572,4.8,55477,62.4,6.2,9.7,5.7,449800,1409,"Rancho Cucamonga, CA, USA",34.0919481,-117.559778
263,Rancho Mirage,2013,Riverside,0.738095238,0.747524752,"(0.65, 0.8]",Good,Good,16726,62,10.6,82.3,2,1.5,6575,5981,594,9,35,24.3,74327,10.6,13883,53.7,29.6,3.3,5.4,600200,1200,"Rancho Mirage, CA, USA",33.770859,-116.426874
264,Redding,2013,Shasta,0.6484375,0.584033613,"(0.5, 0.65]",Okay,Okay,89380,38.4,8.5,82.7,0.9,2.6,41905,36906,4999,11.9,54,16.8,43550,17.3,38087,63.6,4.4,5.8,5.1,271900,859,"Redding, CA, USA",40.5863563,-122.3916754
265,Redlands,2013,San Bernardino,0.63559322,0.654109589,"(0.5, 0.65]",Good,Okay,68852,34.8,29.4,55.3,4.8,7.5,34979,32060,2919,8.3,59.7,22.3,67651,10.1,25982,63.9,4.4,5.5,5.5,370600,1067,"Redlands, CA, USA",34.072662,-117.093417
266,Redwood City,2013,San Mateo,0.763736264,0.78125,"(0.65, 0.8]",Good,Good,75193,36.7,36.7,46.3,2.7,10.7,40458,37869,2589,6.4,61.4,23.1,75231,9.6,29247,47.8,13.9,13.2,4.7,808600,1340,"Redwood City, CA, USA",37.4863239,-122.2325233
267,Reedley,2013,Fresno,0.782258065,0.761904762,"(0.65, 0.8]",Good,Good,23669,32,72.5,22.1,0.4,3.6,10064,9050,1014,10.1,47.2,23.6,46693,22.9,6603,72.8,1.2,2.9,5.2,223700,799,"Reedley, CA, USA",36.5969275,-119.4502701
268,Rialto,2013,San Bernardino,0.710526316,0.702875399,"(0.65, 0.8]",Good,Good,99311,28.2,66.2,14.4,15.3,2,44205,39370,4835,10.9,53.6,31.7,50555,14.7,26720,71.7,2.7,5.7,5.6,301100,1069,"Rialto, CA, USA",34.1064001,-117.3703235
269,Ridgecrest,2013,Kern,0.554545455,0.674757282,"(0.5, 0.65]",Good,Okay,27386,35.1,15.7,67.4,5.3,4.2,12507,11423,1084,8.7,55.3,15.4,57693,13.2,11687,66.1,3.9,1.1,5.3,188300,739,"Ridgecrest, CA, USA",35.6225064,-117.6699414
270,Rio Dell,2013,Humboldt,0.452380952,0.412337662,"(0.0, 0.5]",Low,Low,3329,37.4,11,71.4,2.3,3.2,1515,1247,268,17.7,47.9,19.8,40218,13.9,1358,71.3,4.9,0,5.2,240700,891,"Rio Dell, CA, USA",40.499301,-124.106437
271,Rio Vista,2013,Solano,0.793814433,0.75440806,"(0.65, 0.8]",Good,Good,6874,55.8,15.2,66.4,5.9,4.9,2703,2317,386,14.3,42.2,29.9,54568,9.8,3592,89.8,1.4,0,5.2,329300,1167,"Rio Vista, CA, USA",38.1557502,-121.6913439
272,Ripon,2013,San Joaquin,0.850993377,0.834196891,"(0.8, 1.0]",Great,Great,13792,33.8,21.4,67.5,1.2,6.5,6266,5780,486,7.8,55.9,30.3,74598,10.7,4480,81.9,6.2,3.7,6.2,379400,1065,"Ripon, CA, USA",37.741595,-121.1243828
273,Riverside,2013,Riverside,0.656976744,0.641025641,"(0.65, 0.8]",Okay,Good,300553,29.8,48.7,35.5,6.2,6.7,146369,130901,15468,10.6,57.2,28.8,56991,14.9,99041,64.4,4,8.7,5.2,345400,1092,"Riverside, CA, USA",33.9533546,-117.3961623
275,Rocklin,2013,Placer,0.69047619,0.721854305,"(0.65, 0.8]",Good,Good,54276,35.3,9.7,77.6,1.5,7.6,28668,26732,1936,6.8,63.3,26.8,80379,4.4,21147,72.8,3.2,4.6,6.1,420000,1255,"Rocklin, CA, USA",38.7907339,-121.2357828
276,Rolling Hills,2013,Los Angeles,0.760479042,0.672043011,"(0.65, 0.8]",Good,Good,1808,51.7,7.1,67.4,0.9,21.1,818,784,34,4.2,44.4,28.9,219688,1.1,690,99.9,0,0,8.1,1000000,2000,"Rolling Hills, CA, USA",33.7668041,-118.3496623
277,Rolling Hills Estates,2013,Los Angeles,0.801204819,0.77852349,"(0.8, 1.0]",Good,Great,8004,47.3,4.2,72.1,1.1,19.4,3551,3404,147,4.1,47.1,30.1,142763,1.7,2950,74.9,21.6,0.8,6.6,1000000,2000,"Rolling Hills Estates, CA, USA",33.7877943,-118.3581284
278,Roseville,2013,Placer,0.764044944,0.725694444,"(0.65, 0.8]",Good,Good,113820,36.2,14.3,72.6,1.6,8.4,57843,53783,4060,7,60.2,25.9,75122,7.1,46605,71.3,2.9,7.8,5.8,385800,1163,"Roseville, CA, USA",38.72338,-121.1858783
279,Sacramento,2013,Sacramento,0.630434783,0.615740741,"(0.5, 0.65]",Okay,Okay,459511,33.1,25.4,36.1,13.7,18.4,230813,204514,26299,11.4,61,23.8,50267,17.3,191000,59.3,6.8,8.3,5,311900,959,"Sacramento, CA, USA",38.5815719,-121.4943996
282,San Bernardino,2013,San Bernardino,0.689393939,0.688311688,"(0.65, 0.8]",Good,Good,209174,28.4,58.1,20.3,15.2,4,87555,76142,11413,13,51.7,26.8,39895,27.4,66611,60.2,2.9,10.3,4.7,243800,905,"San Bernardino, CA, USA",34.1083449,-117.2897652
284,San Bruno,2013,San Mateo,0.588888889,0.613207547,"(0.5, 0.65]",Okay,Okay,40231,38.2,27.1,37.6,1.8,26.2,23326,21761,1565,6.7,64.8,23.4,75576,7.2,15655,58.6,4,18.8,4.9,648400,1455,"San Bruno, CA, USA",37.6304904,-122.4110835
286,San Carlos,2013,San Mateo,0.566666667,0.541666667,"(0.5, 0.65]",Okay,Okay,27830,41.8,8.2,75.4,0.5,11.7,14909,14121,788,5.3,60.4,25.1,110929,3.3,11657,69.2,4.4,5.5,5.6,941000,1454,"San Carlos, CA, USA",37.504936,-122.2618236
287,San Clemente,2013,Orange,0.732394366,0.766409266,"(0.65, 0.8]",Good,Good,60774,39.1,14.5,76.5,0.6,3.8,30954,29039,1915,6.2,58.4,27.6,84436,7.2,25627,57.1,10,4.7,5.6,840100,1552,"San Clemente, CA, USA",33.4270275,-117.6124179
288,San Diego,2013,San Diego,0.660714286,0.670886076,"(0.65, 0.8]",Good,Good,1282800,33.4,27.9,46.2,6.5,15.5,661989,613659,48330,7.3,59.9,22.4,62480,14.1,514841,45.9,8.9,17.3,4.7,503700,1259,"San Diego, CA, USA",32.7174209,-117.1627714
290,San Dimas,2013,Los Angeles,0.796296296,0.805699482,"(0.65, 0.8]",Great,Good,33635,39.8,27,56.3,2.2,11.6,17619,16597,1022,5.8,59,31.7,74150,5.4,12037,58.4,13,6.6,5.5,488300,1423,"San Dimas, CA, USA",34.1066756,-117.8067257
291,San Fernando,2013,Los Angeles,0.740963855,0.713567839,"(0.65, 0.8]",Good,Good,23623,28,91.1,6.7,0,1,11530,10122,1408,12.2,59.9,26.1,49716,17.2,6378,72.8,7.3,5.1,4.9,377000,1060,"San Fernando, CA, USA",34.2819461,-118.4389719
292,San Francisco,2013,San Francisco,0.772727273,0.797169811,"(0.65, 0.8]",Good,Good,789172,38.3,14.7,42.1,6.1,33.4,478821,444628,34193,7.1,64.3,29.4,71304,11.9,372560,17.4,15.8,25.1,4.1,785200,1328,"San Francisco, CA, USA",37.7791185,-122.4138641
293,San Gabriel,2013,Los Angeles,0.531914894,0.583798883,"(0.5, 0.65]",Okay,Okay,39670,39.7,26.6,11.8,0.6,58.5,20522,19320,1202,5.9,56.1,28.1,56720,13.7,13069,56.5,10.8,9,4.6,569100,1188,"San Gabriel, CA, USA",34.0991325,-118.1086041
294,San Jacinto,2013,Riverside,0.7578125,0.677177177,"(0.65, 0.8]",Good,Good,41203,31.5,53.2,36,4.6,3.7,17034,14156,2878,16.9,49.5,36.7,45567,17.2,14830,66.6,6.1,2.6,5.2,184000,1000,"San Jacinto, CA, USA",33.7839084,-116.958635
