,Jurisdiction,year,County,DiversionRateHouse,DiversionRateNoOfEmployee,Bins,D.R.E_category,D.R.H_category,Population,MedianAge,Latino,White,Black,Asian,LaberFocre,LaberForceEmplyed,LaberForceUnemployed,UnemploymentRate,FemalesEmploymentRate,CoummuteTime,MedianIncome,PovertyRate,TotalUnit,1-UnitDetached,1-UnitAttached,MoreThan20UnitsInStructure,MedianNoOfRooms,MedianHouseValue,MedianGrossRent,Jurisdiction_stat,lat,lon
295,San Joaquin,2013,Fresno,0.534482759,0.627320955,"(0.5, 0.65]",Okay,Okay,3927,25.1,95.1,2.6,0,2.1,1193,1099,94,7.9,31.3,24.7,26731,42.9,1017,63.2,4,0.4,4.9,161400,456,"San Joaquin, CA, USA",37.9372901,-121.2773719
297,San Jose,2013,Santa Clara,0.730769231,0.731034483,"(0.65, 0.8]",Good,Good,925300,34.8,32.6,29.8,2.8,31.6,489307,446962,42345,8.7,60.4,25.2,79405,10.8,313944,55.3,10.3,12.7,5.2,633800,1339,"San Jose, CA, USA",37.3297085,-121.9031599
298,San Juan Capistrano,2013,Orange,0.792372881,0.781065089,"(0.65, 0.8]",Good,Good,34263,38,35.8,56.3,0.2,4.3,16299,15360,939,5.8,54,24.8,76686,11.4,11968,53.1,19.6,4.3,5.8,654900,1637,"San Juan Capistrano, CA, USA",33.5016932,-117.6625509
299,San Leandro,2013,Alameda,0.58045977,0.582417582,"(0.5, 0.65]",Okay,Okay,82830,37.5,25.7,28.1,12.6,28.8,44424,40278,4146,9.3,61.2,26.9,62609,8.6,30611,60,6,17.2,5,493300,1135,"San Leandro, CA, USA",37.7249296,-122.1560768
300,San Marcos,2013,San Diego,0.707865169,0.660526316,"(0.65, 0.8]",Good,Good,78127,32.6,37,49.3,2.4,8.4,36942,34020,2922,7.9,55.2,27.1,58897,11.3,26818,53.3,7.4,10.3,5.8,441400,1237,"San Marcos, CA, USA",33.1433723,-117.1661449
301,San Marino,2013,Los Angeles,0.676470588,0.6875,"(0.65, 0.8]",Good,Good,13114,45.7,7.8,38.3,0,50.9,5847,5640,207,3.5,48.2,25.7,154962,3.5,4730,98.1,0.3,0.9,7.4,1000000,2000,"San Marino, CA, USA",34.1215947,-118.1057394
302,San Mateo,2013,San Mateo,0.689655172,0.695488722,"(0.65, 0.8]",Good,Good,94751,38.5,24.1,48.8,2.1,19.4,54175,51215,2960,5.5,64.1,23.4,83850,5.9,39975,45.7,9.9,22.6,4.7,769000,1472,"San Mateo, CA, USA",37.496904,-122.3330573
304,San Ramon,2013,Contra Costa,0.771929825,0.682926829,"(0.65, 0.8]",Good,Good,66822,36.8,9.5,50.4,2.4,33.7,36868,34510,2358,6.4,66.1,31.2,120326,2.9,24809,62.7,11.5,7.6,6.2,765400,1575,"San Ramon, CA, USA",37.7799273,-121.9780153
305,Sand City,2013,Monterey,0.798994975,0.733333333,"(0.65, 0.8]",Good,Good,234,38.3,28.2,63.2,5.6,3,135,108,27,20,53.2,16.1,55417,17.1,106,49.1,2.8,11.3,3.7,635400,825,"Sand City, CA, USA",36.6171819,-121.8482855
306,Sanger,2013,Fresno,0.5,0.444444444,"(0.0, 0.5]",Low,Low,23370,27.2,78.6,14.1,2,3.5,10964,9855,1109,10.1,55.5,24,42444,24.6,6882,75.7,1.1,1.8,5.2,195800,771,"Sanger, CA, USA",36.708006,-119.5559652
307,Santa Ana,2013,Orange,0.673333333,0.668639053,"(0.65, 0.8]",Good,Good,325216,28.4,78.1,9.6,1.2,10,161466,146520,14946,9.3,57.1,24.9,54877,17.9,77796,46.1,7.3,16.6,4.5,417400,1231,"Santa Ana, CA, USA",33.7494951,-117.8732213
308,Santa Barbara,2013,Santa Barbara,0.706896552,0.706521739,"(0.65, 0.8]",Good,Good,87859,37.4,35.7,56.5,1.5,3.9,49429,46517,2912,5.9,61.2,16.3,61665,14.1,38191,47.6,9,9.8,4.4,969200,1373,"Santa Barbara, CA, USA",34.9386527,-120.4198189
309,Santa Clara,2013,Santa Clara,0.664634146,0.666666667,"(0.65, 0.8]",Good,Good,112466,34.6,17.8,37.5,2.6,37.3,61826,57175,4651,7.5,60.6,21.2,85294,8.6,44598,42.4,9.6,21.6,4.5,643800,1413,"Santa Clara, CA, USA",37.3541132,-121.9551744
311,Santa Clarita,2013,Los Angeles,0.663793103,0.58,"(0.65, 0.8]",Okay,Good,172253,35.1,27.8,57.4,2.4,8.3,93769,86588,7181,7.7,63.8,32.7,82642,7.6,59736,59.6,11.4,9,5.5,465700,1474,"Santa Clarita, CA, USA",34.3916641,-118.542586
312,Santa Cruz,2013,Santa Cruz,0.676470588,0.663120567,"(0.65, 0.8]",Good,Good,58269,29.9,19,69.5,1.3,5.7,32532,29818,2714,8.3,60.2,22.1,61207,17.8,23614,55.6,10.9,9.6,4.5,735600,1293,"Santa Cruz, CA, USA",36.9849926,-121.990012
314,Santa Fe Springs,2013,Los Angeles,0.855097365,0.852189781,"(0.8, 1.0]",Great,Great,16376,35.1,78.9,13.3,3.5,2.7,7253,6526,727,10,52.3,29,54252,8.9,4749,62.7,2.5,19.8,5,426700,1136,"Santa Fe Springs, CA, USA",33.9482434,-118.0676103
315,Santa Maria,2013,Santa Barbara,0.664285714,0.632911392,"(0.65, 0.8]",Okay,Good,94645,28.4,69.4,23.1,1.5,4.9,44015,39953,4062,9.2,55.4,21.6,50208,17.7,28031,62.9,4.3,5.8,5.1,338800,1085,"Santa Maria, CA, USA",34.9386527,-120.4198189
316,Santa Monica,2013,Los Angeles,0.788990826,0.803703704,"(0.65, 0.8]",Great,Good,88679,40.3,11.5,71,4,9.8,53197,49237,3960,7.4,62.9,24.9,68842,11.1,50015,19.2,3.6,25.2,3.9,985500,1398,"Santa Monica, CA, USA",34.019657,-118.487549
317,Santa Paula,2013,Ventura,0.637254902,0.652509653,"(0.5, 0.65]",Good,Okay,29145,30.2,79.1,19.4,0.1,0.6,13613,11842,1771,13,56.2,25.6,51233,18.1,9015,58.4,8.2,5.1,5,415900,1080,"Santa Paula, CA, USA",34.3541659,-119.0592705
318,Santee,2013,San Diego,0.7,0.674369748,"(0.65, 0.8]",Good,Good,52966,37.4,15.9,74.1,1.2,3.9,26688,24764,1924,7.2,57.7,24.5,68189,6.3,18935,55.5,8.4,4.6,5.6,376900,1206,"Santee, CA, USA",32.8383828,-116.9739167
319,Saratoga,2013,Santa Clara,0.654761905,0.698453608,"(0.65, 0.8]",Good,Good,29523,46.5,3,53.8,0.3,39.6,12746,11795,951,7.5,46.1,25,145023,4.2,10858,84.1,6.8,4.7,7.3,1000000,1747,"Saratoga, CA, USA",37.2638324,-122.0230146
320,Scotts Valley,2013,Santa Cruz,0.775280899,0.73880597,"(0.65, 0.8]",Good,Good,11351,40,9.9,80.7,0.4,5.4,5796,5397,399,6.9,56.3,23.2,101673,4.1,4661,54.6,12.5,5.1,5.4,659600,1636,"Scotts Valley, CA, USA",37.0510595,-122.0146841
321,Seal Beach,2013,Orange,0.702380952,0.766536965,"(0.65, 0.8]",Good,Good,24081,58.3,9.1,79.4,0.6,8.4,9865,9221,644,6.5,39.9,28.7,50014,6.9,14403,32.6,10.4,8.5,4.2,329000,1467,"Seal Beach, CA, USA",33.7423967,-118.1055926
322,Seaside,2013,Monterey,0.634615385,0.676785714,"(0.5, 0.65]",Good,Okay,32431,30.3,41.4,33.8,9.1,8.5,16719,15318,1401,8.4,63.2,18.7,57713,11.6,10766,62.4,11.6,3.2,5,556700,1381,"Seaside, CA, USA",36.6258085,-121.8170359
323,Selma,2013,Fresno,0.808823529,0.684834123,"(0.8, 1.0]",Good,Great,22617,29,76.8,14.9,0.9,5.7,10277,9242,1035,10.1,58.6,23.3,44778,22,6529,76.9,2,2.5,5.2,228800,723,"Selma, CA, USA",36.5707838,-119.6120765
324,Shafter,2013,Kern,0.834302326,0.90221914,"(0.8, 1.0]",Great,Great,16378,25.4,78.8,19.7,0.5,0,6506,5829,677,10.4,50.6,23.3,35915,21.8,4610,73.7,3.4,1.7,5.1,195300,671,"Shafter, CA, USA",35.4698255,-119.2853652
325,Signal Hill,2013,Los Angeles,0.646067416,0.713414634,"(0.5, 0.65]",Good,Okay,10700,35.8,32.7,27.9,12.7,22.3,6564,5810,754,11.5,71.6,24.4,70286,7.9,4524,32.2,14.1,19.9,4.5,461800,1085,"Signal Hill, CA, USA",33.804826,-118.168259
326,Simi Valley,2013,Ventura,0.722222222,0.711009174,"(0.65, 0.8]",Good,Good,121662,37.3,23.5,65,1,7.9,67475,63711,3764,5.6,63.4,30.1,88675,5.8,41300,73.1,7.6,4.9,6.2,553400,1607,"Simi Valley, CA, USA",34.2694474,-118.781482
328,Solana Beach,2013,San Diego,0.657303371,0.691616766,"(0.65, 0.8]",Good,Good,12790,44.6,15.7,76.4,2.7,4.7,7020,6486,534,7.6,54.6,20.9,86908,7.6,6614,47.6,19.4,16.8,5.2,1000000,1787,"Solana Beach, CA, USA",32.9905597,-117.2691316
330,Solvang,2013,Santa Barbara,0.686746988,0.683823529,"(0.65, 0.8]",Good,Good,5218,46.2,26.5,68.2,0,0.9,2729,2600,129,4.7,54.7,20.3,61289,6,2207,56.8,6.2,4.7,5.3,723900,1330,"Solvang, CA, USA",34.5958572,-120.1390894
332,Sonora,2013,Tuolumne,0.756410256,0.75,"(0.65, 0.8]",Good,Good,4914,43.5,5.4,90,0.2,1,2343,2102,241,10.3,50.3,23.2,30893,12.4,2562,57.3,3.5,6.8,4.3,320200,620,"Sonora, CA, USA",37.9840911,-120.3821381
333,South El Monte,2013,Los Angeles,0.783854167,0.779166667,"(0.65, 0.8]",Good,Good,20240,30.8,82.3,3.3,0,13.9,9543,8826,717,7.5,51.9,27.6,46037,15.6,4770,72.7,3.7,3.4,4.9,382200,961,"South El Monte, CA, USA",34.0519548,-118.0467339
334,South Lake Tahoe,2013,El Dorado,0.531914894,0.56352459,"(0.5, 0.65]",Okay,Okay,22114,35,30.3,62.5,0.3,3.6,13239,12223,1016,7.7,70.6,16,44217,17.7,15370,62.8,2.5,3.1,4.6,386500,895,"South Lake Tahoe, CA, USA",38.92933,-119.9877576
335,South Pasadena,2013,Los Angeles,0.579545455,0.496835443,"(0.5, 0.65]",Low,Okay,25376,37.5,20.8,42.9,2.3,30.8,14430,13551,879,6.1,67.5,27.4,82340,6.6,10967,44.6,5.8,14,4.7,828100,1322,"South Pasadena, CA, USA",34.1133062,-118.1478291
336,South San Francisco,2013,San Mateo,0.536231884,0.472222222,"(0.5, 0.65]",Low,Okay,62016,37.8,32.7,23.7,2.7,34.3,33827,31869,1958,5.8,63.1,23.5,74158,6.3,21576,59.8,12.8,9.3,5.1,648500,1423,"South San Francisco, CA, USA",37.6549493,-122.4081251
337,Stanton,2013,Orange,0.552238806,0.494301994,"(0.5, 0.65]",Low,Okay,37990,33.9,46.8,25.4,2,22.1,19746,17783,1963,9.9,60.1,28.8,51539,15.7,12111,26.8,15.8,18.1,4.3,331300,1227,"Stanton, CA, USA",33.79410005,-117.9951006
338,Stockton,2013,San Joaquin,0.688405797,0.652380952,"(0.65, 0.8]",Good,Good,287377,30.5,38.8,24.3,11.4,21.2,129487,111459,18028,13.9,56.2,27,47946,19.8,99376,64.7,7.1,8,5.2,276600,917,"Stockton, CA, USA",37.9577016,-121.2907796
339,Suisun City,2013,Solano,0.775510204,0.62804878,"(0.65, 0.8]",Okay,Good,27742,32.7,25.2,26.9,20.5,19,14493,13151,1342,9.3,61.6,31.3,71795,8.9,9291,83.1,2.6,3.9,5.9,341400,1320,"Suisun City, CA, USA",38.2382474,-122.040244
340,Sunnyvale,2013,Santa Clara,0.65,0.620481928,"(0.5, 0.65]",Okay,Okay,136480,35.6,16.9,37.4,2.2,39.8,75914,70911,5003,6.6,59,22.2,90174,6.2,55838,38.7,8.5,19.8,4.5,707900,1429,"Sunnyvale, CA, USA",37.3688301,-122.0363496
341,Taft,2013,Kern,0.740909091,0.761290323,"(0.65, 0.8]",Good,Good,9370,34.4,30,62.5,2.4,2.3,2876,2697,179,6.2,45.8,19.8,46324,12.9,2767,74.7,4.5,2.1,5.5,203300,652,"Taft, CA, USA",35.1424671,-119.4565078
342,Tehachapi,2013,Kern,0.695652174,0.717092338,"(0.65, 0.8]",Good,Good,14080,35,34.9,49.7,11,1.4,3813,3602,211,5.5,57,19.2,46067,14.3,3218,68,2.2,1.7,5.1,188300,776,"Tehachapi, CA, USA",35.1321878,-118.4489739
343,Temecula,2013,Riverside,0.726666667,0.609848485,"(0.65, 0.8]",Okay,Good,95829,32.8,23.9,58,3.9,9.1,48315,44088,4227,8.7,61.5,32.8,77850,8.2,32221,79.8,2.8,5,6.3,384200,1398,"Temecula, CA, USA",33.4946353,-117.1473661
344,Temple City,2013,Los Angeles,0.715384615,0.754237288,"(0.65, 0.8]",Good,Good,35222,40.6,19.1,22.3,0.4,56.6,18319,17206,1113,6.1,57.8,30.6,65668,7.1,11764,80.6,7.3,2.3,5.3,582100,1313,"Temple City, CA, USA",34.1082994,-118.0577568
345,Thousand Oaks,2013,Ventura,0.7,0.689189189,"(0.65, 0.8]",Good,Good,124671,40.2,16.5,71.4,0.9,9,65999,61835,4164,6.3,59.8,25,98713,5.1,46339,68.1,11.4,6.8,6.2,673500,1731,"Thousand Oaks, CA, USA",34.17142715,-118.9105877
346,Tracy,2013,San Joaquin,0.702531646,0.693251534,"(0.65, 0.8]",Good,Good,79416,30.7,37.9,35.3,6,14.7,39833,35433,4400,11,62.7,41.4,76753,10.4,25449,81.4,3.4,3.4,6.2,386800,1290,"Tracy, CA, USA",37.7396513,-121.4252227
347,Trinidad,2013,Humboldt,0.591463415,0.690721649,"(0.5, 0.65]",Good,Okay,259,44.8,0.8,98.5,0,0,170,159,11,6.5,71.8,20.9,48333,10.8,214,73.8,0.9,0,4.6,656300,1060,"Trinidad, CA, USA",41.059291,-124.143125
349,Truckee,2013,Nevada,0.76635514,0.800766284,"(0.65, 0.8]",Great,Good,15864,36.2,16,80.4,0.6,0.9,9933,9160,773,7.8,76.1,19.5,65351,8.6,12461,84,1.6,0.4,4.7,516300,1344,"Truckee, CA, USA",39.327962,-120.1832533
351,Tustin,2013,Orange,0.770491803,0.72815534,"(0.65, 0.8]",Good,Good,73731,33.2,37.4,36.8,2.2,20.9,40826,37618,3208,7.9,65.3,22.2,73170,9.6,26335,35.3,12.8,15.1,4.7,573100,1424,"Tustin, CA, USA",33.7458511,-117.826166
352,Twentynine Palms,2013,San Bernardino,0.586538462,0.633991537,"(0.5, 0.65]",Okay,Okay,26215,23.3,17.8,66.2,7.2,3.2,7102,6112,990,13.9,52,14.1,42027,14.2,9701,59.2,8.2,1,4.7,173100,885,"Twentynine Palms, CA, USA",34.1181,-115.9819
353,Ukiah,2013,Mendocino,0.682692308,0.701030928,"(0.65, 0.8]",Good,Good,15942,33.9,28,64.6,0.8,1.8,7237,6478,759,10.5,58.2,14.1,42657,15.5,6464,55.4,6.3,9.6,4.8,339600,921,"Ukiah, CA, USA",39.1501662,-123.2077861
354,Union City,2013,Alameda,0.761904762,0.767699115,"(0.65, 0.8]",Good,Good,68081,36.4,21.9,15.4,6.1,52.5,35681,32997,2684,7.5,61,30,83629,7.3,21411,64.2,13.4,11.3,5.8,569300,1321,"Union City, CA, USA",37.5963232,-122.0816297
355,Upland,2013,San Bernardino,0.634615385,0.60472973,"(0.5, 0.65]",Okay,Okay,73887,35.6,37.5,44.9,5.9,9,38475,34637,3838,10,62.4,27.9,67567,8.9,26553,57.3,6.4,9.7,5.6,479500,1151,"Upland, CA, USA",34.09751,-117.6483876
357,Vacaville,2013,Solano,0.653846154,0.713414634,"(0.65, 0.8]",Good,Good,91928,36.7,21.2,57.4,9.9,5.6,42953,40089,2864,6.7,65.3,27.6,70838,7,31780,71.4,3.4,5.1,5.7,377900,1256,"Vacaville, CA, USA",38.3565773,-121.9877444
358,Vallejo,2013,Solano,0.718181818,0.738589212,"(0.65, 0.8]",Good,Good,116030,37.5,21.4,25.8,21.7,24.3,59549,52396,7153,12,60.8,32.7,61481,13.9,45297,67.2,3,5.5,5.3,355300,1144,"Vallejo, CA, USA",38.1040864,-122.2566367
360,Vernon,2013,Los Angeles,0.819878086,0.735555556,"(0.8, 1.0]",Good,Great,128,30.4,89.8,3.1,0,5.5,56,53,3,5.4,31.3,34.4,38625,9.4,41,48.8,4.9,4.9,3.8,325000,855,"Vernon, CA, USA",34.007135,-118.22525
361,Victorville,2013,San Bernardino,0.790697674,0.678571429,"(0.65, 0.8]",Good,Good,108088,28.4,46.4,31.5,15,3.7,42886,36860,6026,14.1,51.7,34.1,53566,19.4,34283,79.4,0.8,3.9,6,227300,1069,"Victorville, CA, USA",34.5361067,-117.2911565
362,Villa Park,2013,Orange,0.72826087,0.669300226,"(0.65, 0.8]",Good,Good,5813,46.3,9.6,72.7,0.1,14.8,2853,2705,148,5.2,46.6,21.6,146776,2.3,1937,98.5,1.1,0,8.2,1000000,2000,"Villa Park, CA, USA",33.8147541,-117.8206235
363,Vista,2013,San Diego,0.592307692,0.573446328,"(0.5, 0.65]",Okay,Okay,92478,31.5,45.9,44.2,2.4,4,44890,40921,3969,8.8,56.4,26.4,52602,13.8,30246,50.4,7.8,10,5.2,421700,1217,"Vista, CA, USA",33.2000368,-117.2425355
364,Walnut,2013,Los Angeles,0.611111111,0.5975,"(0.5, 0.65]",Okay,Okay,29327,41.7,18.4,14.1,2.6,62.5,14859,14153,706,4.8,56.9,37.1,100182,4.9,8661,95.5,0.6,2.3,6.7,650900,1861,"Walnut, CA, USA",34.0202894,-117.8653386
365,Wasco,2013,Kern,0.59375,0.747678019,"(0.5, 0.65]",Good,Okay,25143,27.7,74.9,13.8,8,2.5,8372,7313,1059,12.6,53.9,23.7,40054,26.3,5541,75.8,3.5,2.1,5,174000,568,"Wasco, CA, USA",35.5941238,-119.3409457
366,Watsonville,2013,Santa Cruz,0.765822785,0.74301676,"(0.65, 0.8]",Good,Good,49580,29.3,78.7,15.7,0.7,3.4,24055,21400,2655,11,61.2,23.4,46675,18.7,14498,52.2,9.2,7.5,4.7,445900,1016,"Watsonville, CA, USA",36.887168,-121.7854466
368,West Covina,2013,Los Angeles,0.61627907,0.550898204,"(0.5, 0.65]",Okay,Okay,105552,35,52.1,16.6,4.1,25.7,54136,49387,4749,8.8,59.6,32.3,69587,8.7,32200,64.7,9.5,15.6,5.5,465400,1281,"West Covina, CA, USA",34.0686208,-117.9389526
369,West Hollywood,2013,Los Angeles,0.612068966,0.662337662,"(0.5, 0.65]",Good,Okay,34657,40.7,12.2,77.4,2.1,4.7,24849,22643,2206,8.9,64.4,27.2,52009,13.2,24683,9.3,2.9,38.5,3.3,656000,1201,"West Hollywood, CA, USA",34.0900091,-118.3617443
370,West Sacramento,2013,Yolo,0.729591837,0.653061224,"(0.65, 0.8]",Good,Good,45961,32.9,34.8,47.3,4.2,8.9,23593,21322,2271,9.6,64.3,22.2,53559,16.6,18287,62.7,5.4,6,5.1,293900,853,"West Sacramento, CA, USA",38.5804609,-121.530234
371,Westlake Village,2013,Los Angeles,0.745033113,0.843373494,"(0.65, 0.8]",Great,Good,8274,46.4,9.4,83.3,1.3,5.6,3754,3432,322,8.6,48.2,27.3,116213,3.4,3322,70,18.5,0.6,6.9,825700,2000,"Westlake Village, CA, USA",34.145908,-118.806152
372,Westminster,2013,Orange,0.73015873,0.723826715,"(0.65, 0.8]",Good,Good,88921,37.7,22.3,28.3,0.9,46.7,43646,39554,4092,9.4,56,26.4,57892,12.9,27851,53.9,7.4,10.6,5.1,529900,1263,"Westminster, CA, USA",33.7578725,-117.9859054
373,Whittier,2013,Los Angeles,0.722222222,0.672205438,"(0.65, 0.8]",Good,Good,84997,34.3,65.3,29.3,0.7,2.9,43221,39905,3316,7.7,60,28.6,65308,9.2,28670,65.4,3.9,8.2,5.1,512400,1091,"Whittier, CA, USA",33.9748932,-118.0336975
374,Willits,2013,Mendocino,0.457446809,0.510526316,"(0.0, 0.5]",Okay,Low,4913,37.5,21.2,73,0,0,2426,2124,302,12.4,56,18.7,40465,23.6,2153,54,4.5,9.1,5,272100,893,"Willits, CA, USA",39.4096043,-123.3555602
375,Winters,2013,Yolo,0.645454545,0.66025641,"(0.5, 0.65]",Good,Okay,6572,30.6,49.9,40.3,0,5.4,3605,3233,372,10.3,65.4,25.8,59679,9.2,2135,74.7,4.7,3.4,5.7,349300,984,"Winters, CA, USA",38.5249065,-121.9708017
376,Woodlake,2013,Tulare,0.634146341,0.554726368,"(0.5, 0.65]",Okay,Okay,7178,25.7,89.8,9.3,0,0,3080,2500,580,18.8,52.8,25.4,29417,28.2,1904,68.3,7.4,5,4.8,136600,572,"Woodlake, CA, USA",36.4135606,-119.0987176
377,Woodland,2013,Yolo,0.587719298,0.55862069,"(0.5, 0.65]",Okay,Okay,54785,34.7,43.7,45.9,1.1,6.5,27753,25291,2462,8.9,60.7,20.3,55406,11.2,20400,63.2,5.7,9.2,5.2,352100,935,"Woodland, CA, USA",38.6786109,-121.7733285
378,Woodside,2013,San Mateo,0.795620438,0.777027027,"(0.65, 0.8]",Good,Good,5237,45.9,8.2,83.5,0.2,4.6,2280,2170,110,4.8,46.9,24.7,186359,3.7,2106,95.3,2.8,0,7.8,1000000,1868,"Woodside, CA, USA",37.4299388,-122.2538557
380,Yorba Linda,2013,Orange,0.75,0.688953488,"(0.65, 0.8]",Good,Good,62915,41.5,13.3,67,1.6,14.5,33684,32167,1517,4.5,60,30.8,115279,2.3,21665,78.6,9.6,2.7,6.8,765800,1769,"Yorba Linda, CA, USA",33.890107,-117.8255939
382,Yucaipa,2013,San Bernardino,0.677777778,0.62808642,"(0.65, 0.8]",Okay,Good,50227,36.7,25.7,66.8,1.3,3.1,24654,22165,2489,10.1,56.4,28.9,57492,10.4,19348,68.7,2.8,1.1,5.5,299400,966,"Yucaipa, CA, USA",34.040931,-117.0516714
383,Yucca Valley,2013,San Bernardino,0.760869565,0.73286052,"(0.65, 0.8]",Good,Good,20290,39.8,15.1,77.7,2.5,1.7,8244,7602,642,7.8,48.2,28,45350,13.5,9716,77.4,3.1,1.3,5.2,210600,826,"Yucca Valley, CA, USA",34.1234629,-116.4140676
387,Citrus Heights,2013,Sacramento,0.642857143,0.572192513,"(0.5, 0.65]",Okay,Okay,84351,36.7,15.4,74.8,3.9,3.2,45378,40853,4525,10,62.4,25.5,53552,11.8,36118,54.9,8.8,5.6,5.2,277500,996,"Citrus Heights, CA, USA",38.7071247,-121.2810611
389,Laguna Woods,2013,Orange,0.525641026,0.619047619,"(0.5, 0.65]",Okay,Okay,16295,78,4.4,85.5,0.8,8.3,3226,2872,354,11,19.2,22.3,34192,7.4,12983,7,28.5,17,4.2,236700,1375,"Laguna Woods, CA, USA",33.6106076,-117.7249722
390,Oakley,2013,Contra Costa,0.702702703,0.660810811,"(0.65, 0.8]",Good,Good,33496,31.8,38.7,48.4,4.7,5.3,16173,14439,1734,10.7,60.2,37.3,76583,7.4,10991,91,2.1,1.7,6.3,384300,1423,"Oakley, CA, USA",37.9974219,-121.7124536
398,Elk Grove,2013,Sacramento,0.779661017,0.723636364,"(0.65, 0.8]",Good,Good,141200,33,18,38.4,10.9,25.6,72881,66993,5888,8.1,67.4,30.8,79457,8,47173,87,3,2.6,6.4,360900,1410,"Elk Grove, CA, USA",38.4087993,-121.3716178
399,Rancho Santa Margarita,2013,Orange,0.666666667,0.685534591,"(0.65, 0.8]",Good,Good,47539,34.1,15.6,69.8,1.1,10.5,25887,24560,1327,5.1,64.8,27.5,99722,3.5,16666,54.2,20.5,9.3,5.7,603900,1623,"Rancho Santa Margarita, CA, USA",33.6408845,-117.6029341
400,Aliso Viejo,2013,Orange,0.681818182,0.70212766,"(0.65, 0.8]",Good,Good,46329,35.4,17.1,62.7,3.1,13.8,28313,26743,1570,5.5,72.9,26,95498,3.7,19036,36.3,26.2,14.6,4.9,558100,1799,"Aliso Viejo, CA, USA",33.5761376,-117.7258122
402,Rancho Cordova,2013,Sacramento,0.7,0.626506024,"(0.65, 0.8]",Okay,Good,63297,32.9,20.3,52.4,9.2,12.2,32765,28733,4032,12.3,61,24.1,52521,16.3,25479,56.6,6.6,9.3,5.2,265800,947,"Rancho Cordova, CA, USA",38.5890723,-121.302728
1312,Dinuba,2016,Tulare,0.692307692,0.632768362,"(0.65, 0.8]",Okay,Good,22325,28.4,87.3,10.4,0,1.7,10306,8753,1553,15.1,53.7,24,39328,28.6,5997,72.3,2,2.7,5.1,148600,835,"Dinuba, CA, USA",36.5432837,-119.3870656
1325,Exeter,2016,Tulare,0.595238095,0.720125786,"(0.5, 0.65]",Good,Okay,10381,28,46.3,49.3,1.5,0.2,4475,3857,618,13.8,57.3,21.2,39063,29.9,3612,78.8,3,0.8,5.3,159700,848,"Exeter, CA, USA",36.2960613,-119.1420517
1327,Farmersville,2016,Tulare,0.651515152,0.806451613,"(0.65, 0.8]",Great,Good,10608,26.1,88.3,11,0,0,4609,3721,888,19.3,58.4,23.4,32384,32.9,2758,83.5,0.7,0.6,5.2,105100,728,"Farmersville, CA, USA",36.2977283,-119.2067767
1396,Lindsay,2016,Tulare,0.660377358,0.591891892,"(0.65, 0.8]",Okay,Good,12377,24.4,87.3,9.3,0.3,1.9,5303,4252,1051,19.8,53.1,20.7,31425,42.5,3166,71.2,1.8,3.6,5.2,121100,729,"Lindsay, CA, USA",36.2030064,-119.08816
1482,Porterville,2016,Tulare,0.703947368,0.619444444,"(0.65, 0.8]",Okay,Good,54534,29.6,63.2,29.1,0.7,4.6,23131,19648,3483,15.1,56.1,21.1,41905,27,17960,72.5,1.6,4.3,5.3,149100,772,"Porterville, CA, USA",36.06523,-119.0167679
1572,Tulare,2016,Tulare,0.675,0.658974359,"(0.65, 0.8]",Good,Good,59949,29.9,56.9,33.8,3.4,2.6,26624,23331,3293,12.4,54.5,19.6,45485,21.4,19020,79.8,2.1,2.7,5.4,157600,919,"Tulare, CA, USA",36.2516475,-118.852583
1587,Visalia,2016,Tulare,0.661538462,0.628676471,"(0.65, 0.8]",Okay,Good,125502,31.2,45.7,44.8,1.7,5.6,59429,52408,7021,11.8,58.3,19.9,52899,19.2,43754,74.9,3.4,3.2,5.3,177100,956,"Visalia, CA, USA",36.3302284,-119.2920585
